,timestamp,signal,price,sl,tp,rr,thr_rr_adx_p40,thr_rr_adx_p60,thr_rr_bbw_p40,thr_rr_bbw_p50,thr_rr_dir_p30,thr_rr_dir_p70,entry_kind,stop_dist,outcome,close_ts,quality,entry_hour,entry_dow,trend_entry,rsi_entry,ma20_slope3_entry,roc3_entry,vwap_prox_entry,dir_r2_abs_entry,flip_rate24_entry,trend_flip_during,bars_trend,bars_chop,bars_neutral,mfe_R,mae_R,regime_entry,ADX_entry,ATR_rel_entry,VOL_mult_entry,MA_gap_pct_entry,bb_pctb_entry,bb_bw_entry,bb_mid_slope_entry,rsi_bin,bbpos_bin,bbbw_bin,atrrel_bin,vwap_side,vwap_dev_bps,rr_bucket,cohort_id,pause_state_open,qty,locked_margin,usd,risk_scale,exit_kind,fee,pnl,balance_after,probe_after_streak,skipped,governance_skip,hour_utc,dow
0,2024-01-05T19:00:00.000Z,SELL,98.16,100.56708333333333,94.06795833333334,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,2.4070833333333326,TP,2024-01-06T06:00:00.000Z,2,19,4,0,76.04856512141271,-0.4380999999999915,0.0003062787136294265,1.4131510384519492,0.6644482689070641,0,1,24,18,2,1.0107668339968838,0.9962264150943466,trend,67.76894592704613,1.2791081801813262,0.576215158212695,-0.018805970149253674,0.48039588738636413,0.044849322682809,,rsi_>=70,bbpos_40_60,bbbw_thick,atr_high,vwap_below,-152.03044554743164,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",10.386000000000001,13.593196800000001,25,1,limit_maker_tp,0,42.58259999999994,1017.3969421478694,,,,19,4
1,2024-01-05T19:15:00.000Z,SELL,98.11,100.50941666666665,94.03099166666668,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,2.399416666666653,SL,2024-01-05T22:15:00.000Z,2,19,4,0,78.69764397905733,-0.359800000000007,0.010118130457113406,1.106131051842391,0.6696631828346878,0,0,12,0,0,0.18046052860069903,0.8135310665786838,trend,68.82618073051003,1.2724309427912048,0.4047707621608623,-0.019637374974484593,0.5223132123874605,0.03678261848996341,,rsi_>=70,bbpos_40_60,bbbw_thick,atr_high,vwap_below,-155.52946307409402,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",10.277000000000001,13.443686266666669,24.66017008,1,market_taker_stop,0.3719124775348545,-25.185657852130635,974.8143421478694,,,,19,4
2,2024-01-05T19:30:00.000Z,SELL,98.51,101.0255375,94.23358625000002,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,2.5155374999999935,TP,2024-01-06T06:00:00.000Z,1,19,4,0,47.98456260720395,-0.31964999999999577,-0.0018478061130734469,1.5460707646588936,0.6769789404120098,0,1,22,18,2,1.1063241951272873,0.814140119159427,trend,70.25197719399962,1.2669702800300005,0.4763009270835355,-0.01992891645904308,0.6804973997617548,0.03003083615579996,,rsi_40_50,bbpos_60_80,bbbw_thick,atr_high,vwap_below,-113.69042752931571,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",9.669,12.699909200000002,24.324077923333334,1,limit_maker_tp,0,41.38332000000001,1058.7802621478693,,,,19,4
3,2024-01-05T20:00:00.000Z,SELL,98.34,100.744,94.2532,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,2.4039999999999964,TP,2024-01-06T06:00:00.000Z,3,20,4,0,50.21382751247327,-0.07710000000001571,-0.0037931560482025173,1.3604953090825467,0.7065268945416221,0,1,20,18,2,1.086938435940102,0.9226289517470916,trend,68.14378023242209,1.2626934659289848,0.5530577388350574,-0.01955253215475016,0.7062538263858336,0.024723643886002813,,rsi_50_60,bbpos_60_80,bbbw_thick,atr_high,vwap_below,-126.52086670569525,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",9.986,13.0936432,24.006580193333335,1,limit_maker_tp,0,40.842740000000035,1099.6230021478693,,,,20,4
4,2024-01-05T20:15:00.000Z,SELL,98.28,100.68816666666666,94.18611666666668,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,2.4081666666666592,TP,2024-01-06T06:00:00.000Z,2,20,4,0,70.31657355679715,0.008449999999996294,0.006832152025610494,0.9727407063446539,0.720367111223816,0,1,19,18,2,1.0601425704200995,0.9459478164578908,trend,65.72164718385861,1.2601945456400774,0.9946028586242716,-0.018533819236030508,0.597294507860716,0.024636180302276888,,rsi_>=70,bbpos_40_60,bbbw_thick,atr_high,vwap_below,-131.1064726765494,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",9.832,12.883852800000001,23.679239113333335,1,limit_maker_tp,0,40.31119999999995,1139.9342021478692,,,,20,4
5,2024-01-05T20:45:00.000Z,SELL,98.5,100.77658333333333,94.62980833333334,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,2.2765833333333347,TP,2024-01-06T06:00:00.000Z,1,20,4,0,66.19508562918824,0.05890000000000839,0.009064739388742415,0.6675335543302282,0.7237473133021062,0,1,17,18,2,1.2180533694498341,0.9039862366850957,trend,57.665261079248026,1.1796186220755644,0.5178509262947579,-0.017225770365097114,0.7455946865415066,0.02485752546933822,,rsi_60_70,bbpos_60_80,bbbw_thick,atr_high,vwap_below,-106.94713366052959,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",10.259,13.473486666666668,23.357142793333335,1,limit_maker_tp,0,39.80491999999995,1179.7391221478692,,,,20,4
6,2024-01-07T00:15:00.000Z,SELL,93.99,95.61294999999998,91.230985,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,1.6229499999999888,SL,2024-01-07T00:45:00.000Z,2,0,6,0,53.97350993377468,-0.37155000000001337,0.011373051141071011,0.38512305599399194,0.07264806621910558,0.041666666666666664,0,2,0,0,0,0.6574447764872673,trend,58.43856955235799,0.9600980596163519,0.9539890589391433,-0.0072935633115152314,0.3664563775892946,0.03264968027929392,,rsi_50_60,bbpos_20_40,bbbw_thick,atr_high,vwap_above,30.570114928215865,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",18.172,22.7731504,29.493478053696734,1,market_taker_stop,0.6255860937044796,-30.378455272814467,1149.3606668750547,,,,0,6
7,2024-01-07T00:30:00.000Z,SELL,94.14,95.73468749999999,91.42903125000001,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,1.594687499999992,SL,2024-01-07T00:45:00.000Z,3,0,6,0,65.47823105930752,-0.23905000000000598,0.014498659517426349,0.5372174630180127,0.07978963267274582,0.041666666666666664,0,1,0,0,0,0,trend,61.351690165939054,0.9516623413243361,0.34458153769031125,-0.008051831992850879,0.4515888641379991,0.028989334977620317,,rsi_60_70,bbpos_40_60,bbbw_thick,atr_high,vwap_below,-4.883128158224064,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",18.137,22.7655624,28.92414929369673,1,market_taker_stop,0.6251761721489681,-29.8084743637271,1119.5521925113276,,,,0,6
8,2024-01-07T00:45:00.000Z,SELL,94.85000000000001,96.39875,92.21712500000001,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,1.5487499999999983,TP,2024-01-07T03:00:00.000Z,1,0,6,0,80.3373615307149,-0.06240000000001089,0.022141440846001226,1.6004782889428326,0.07235680594262184,0.041666666666666664,0,5,2,2,1.4553672316384239,0.940112994350277,trend,61.505985680332905,0.9768088702759965,1.897586996743223,-0.008352783239255087,0.6957956312485587,0.027407496735346096,,rsi_>=70,bbpos_60_80,bbbw_thick,atr_high,vwap_above,29.64932426640966,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",18.071,22.853791333333337,27.98880481278319,1,limit_maker_tp,0,47.70744000000001,1167.2596325113275,,,,0,6
9,2024-01-08T21:30:00.000Z,BUY,97,94.91775,100.53982500000001,1.7,15,20,0.006,0.008,0.05,0.2,limit_maker,2.082250000000002,TP,2024-01-09T04:15:00.000Z,1,21,0,1,25.7638315441785,0.3291500000000127,-0.008131413473158156,4.06540966471053,0.9018920335418958,0,1,5,20,2,1.355264737663586,0.7828070596710265,trend,56.349848272997306,1.0564023384850585,0.20809671649578332,0.027801886889513003,0.5092157373658387,0.06736027901318405,,rsi_<30,bbpos_40_60,bbbw_thick,atr_high,vwap_above,481.88204493786225,rr_1.6_2.2,1,"{""BUY"":false,""SELL"":false,""micro"":false}",14.014000000000001,18.124773333333337,29.18149081278319,1,limit_maker_tp,0,49.609560000000094,1187.4738434334834,,,,21,0
